cv_id,subject,author_name,author_uri,recipient_name,recipient_uri,date,place_label,place_uri,lat,long,mentioned_people,mentioned_orgs,mentioned_places,mentioned_events,mentioned_dates,text_file
CV-1,Carta CV-1 – Raul Abbott para Alfredo,Raul Abbott,https://carlamenegat.github.io/VarelaDigital/person/raul_abbott,Alfredo Varela,https://carlamenegat.github.io/VarelaDigital/person/alfredo_varela,1896-04-27,Cachoeira,,,,alfredo_varela|https://carlamenegat.github.io/VarelaDigital/person/alfredo_varela|Alfredo;bento_manuel|https://carlamenegat.github.io/VarelaDigital/person/bento_manuel|Bento Manuel;canabarro|https://carlamenegat.github.io/VarelaDigital/person/canabarro|Canabarro;coritiba|https://carlamenegat.github.io/VarelaDigital/person/coritiba|Coritiba;demetrio_ribeiro|https://carlamenegat.github.io/VarelaDigital/person/demetrio_ribeiro|Demétrio Ribeiro;joao_manuel_lima_silva|https://carlamenegat.github.io/VarelaDigital/person/joao_manuel_lima_silva|General Lima;raul_abbott|https://carlamenegat.github.io/VarelaDigital/person/raul_abbott|Raul Abbott;roque|https://carlamenegat.github.io/VarelaDigital/person/roque|capitão legalista Roque;teixeira_nunes|https://carlamenegat.github.io/VarelaDigital/person/teixeira_nunes|Coronel Joaquim Teixeira Nunes,,buenos_aires||Buenos Aires;cachoeira||Cachoeira;rio_grande_dosul||Rio Grande,,1896-04-27;1978;2025-06-16;2025-11-20,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-1.xml
CV-10,Carta CV-10 – Antônio Francisco dos Santos Abreu para Domingos José de Almeida,Antônio Francisco dos Santos Abreu,https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1842-12-18,Salso,,,,antonio_abreu|https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu|Antônio Francisco dos Santos Abreu;bento_goncalves|https://carlamenegat.github.io/VarelaDigital/person/bento_goncalves|Bento;domingos_jose_almeida|https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida|Almeida;fontoura|https://carlamenegat.github.io/VarelaDigital/person/fontoura|Fontoura;inacio_guimaraes|https://carlamenegat.github.io/VarelaDigital/person/inacio_guimaraes|Inácio;vicente|https://carlamenegat.github.io/VarelaDigital/person/vicente|Vicente,,erval||Erval,,1842-12-18;1978;2025-06-18;2025-11-20,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-10.xml
CV-100,Ordem militar CV-100 – Junção de forças e requisição de cavalos,Paulo Pereira da Silva Alano,https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano,Rodrigo Antônio da Silva,https://carlamenegat.github.io/VarelaDigital/person/rodrigo_antonio_silva,1839-02-07,Passo do Mampituba,,,,jose_antonio_alferes|https://carlamenegat.github.io/VarelaDigital/person/jose_antonio_alferes|Alferes José Antônio;paulo_pereira_silva_alano|https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano|Paulo Pereira da Silva Alano;rodrigo_antonio_silva|https://carlamenegat.github.io/VarelaDigital/person/rodrigo_antonio_silva|Rodrigo Antônio da Silva;vicente_vilas_boas|https://carlamenegat.github.io/VarelaDigital/person/vicente_vilas_boas|Vicente Paulo de Oliveira Vilas Boas,,passo_mampituba||Passo do Mampituba,,1839-02-07;1978;2025-07-08;2025-12-02,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-100.xml
CV-101,Carta CV-101 – Paulo Pereira da Silva Alano para Antônio Elzeário de Miranda e Brito,Paulo Pereira da Silva Alano,https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano,Antônio Elzeário de Miranda e Brito,https://carlamenegat.github.io/VarelaDigital/person/antonio_elzeario_miranda_brito,1839-03-08,Três Forquilhas,,,,antonio_elzeario_miranda_brito|https://carlamenegat.github.io/VarelaDigital/person/antonio_elzeario_miranda_brito|Antônio Elzeário de Miranda e Brito;jose_joaquim_cabeleira|https://carlamenegat.github.io/VarelaDigital/person/jose_joaquim_cabeleira|José Joaquim Cabeleira;paulo_pereira_silva_alano|https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano|Paulo Pereira da Silva Alano,,ilha_santo_antonio||Ilha de Santo Antônio;torres||Torres;tres_forquilhas||Três Forquilhas,,1839-03-08;1978;2025-07-08;2025-12-02,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-101.xml
CV-102,Carta CV-102 – Teseu (Melo) para Oliveira,Teseu,https://carlamenegat.github.io/VarelaDigital/person/teseu,Oliveira,https://carlamenegat.github.io/VarelaDigital/person/oliveira,1838-10-11,Cruz Alta,,,,alfredo_varela|https://carlamenegat.github.io/VarelaDigital/person/alfredo_varela|A. Varela;antero_ferreira_ribeiro|https://carlamenegat.github.io/VarelaDigital/person/antero_ferreira_ribeiro|Antero;antonio_elzeario_miranda_brito|https://carlamenegat.github.io/VarelaDigital/person/antonio_elzeario_miranda_brito|Elzeário;bento_manoel|https://carlamenegat.github.io/VarelaDigital/person/bento_manoel|Bento Manuel;carneiro|https://carlamenegat.github.io/VarelaDigital/person/carneiro|Carneiro;domingos_jose_almeida|https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida|Almeida;francisco_chagas_santos|https://carlamenegat.github.io/VarelaDigital/person/francisco_chagas_santos|Chagas;francisco_xavier_cunha|https://carlamenegat.github.io/VarelaDigital/person/francisco_xavier_cunha|Cunha;joao_paulo_santos_barreto|https://carlamenegat.github.io/VarelaDigital/person/joao_paulo_santos_barreto|Barreto;jose_araujo_ribeiro|https://carlamenegat.github.io/VarelaDigital/person/jose_araujo_ribeiro|Araújo Ribeiro;jose_inacio_ourives|https://carlamenegat.github.io/VarelaDigital/person/jose_inacio_ourives|José Inácio;luis_palmeiro|https://carlamenegat.github.io/VarelaDigital/person/luis_palmeiro|Luís Palmeiro;martim_francisco_filho|https://carlamenegat.github.io/VarelaDigital/person/martim_francisco_filho|Martim Francisco Filho;melo|https://carlamenegat.github.io/VarelaDigital/person/melo|Teseu;silva_tavares|https://carlamenegat.github.io/VarelaDigital/person/silva_tavares|Silva Tavares,,cruz_alta||Cruz Alta;porto_alegre||Porto Alegre;rio_pardo||Rio Pardo,,1838-10-09;1838-10-11;1978;2025-07-08;2025-12-02,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-102.xml
CV-103,Carta CV-103 – Antônio de Melo e Albuquerque para Domingos José de Almeida,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1839-07-09,Cruz Alta,,,,antonio_melo_albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque|Antônio de Melo e Albuquerque;domingos_jose_almeida|https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida|Domingos José de Almeida,,cacapava||Caçapava;cruz_alta||Cruz Alta;santa_maria||Santa Maria,,1839-07-09;1839-07-18;1978;2025-07-09;2025-12-03,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-103.xml
CV-104,Carta CV-104 – Antônio de Melo e Albuquerque,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,,,1839-12-14,Cruz Alta,,,,agostinho_antonio_mello|https://carlamenegat.github.io/VarelaDigital/person/agostinho_antonio_mello|Coronel Agostinho;antonio_melo_albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque|Antônio de Melo e Albuquerque;pardo_fortunato|https://carlamenegat.github.io/VarelaDigital/person/pardo_fortunato|Fortunato,,cruz_alta||Cruz Alta;rio_pardo||Rio Pardo,,1839-12-14;1978;2025-07-09;2025-12-03,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-104.xml
CV-105,Carta CV-105 – Antônio de Melo e Albuquerque para João da Silva Machado,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,João da Silva Machado,https://carlamenegat.github.io/VarelaDigital/person/joao_silva_machado,1840-02-14,Canoas,,,,alfredo_varela|https://carlamenegat.github.io/VarelaDigital/person/alfredo_varela|Alfredo Varela;antonio_melo_albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque|Antônio de Melo e Albuquerque;capitao_hipolito|https://carlamenegat.github.io/VarelaDigital/person/capitao_hipolito|Hipólito;joao_silva_machado|https://carlamenegat.github.io/VarelaDigital/person/joao_silva_machado|João da Silva Machado;martim_francisco_filho|https://carlamenegat.github.io/VarelaDigital/person/martim_francisco_filho|Martim Francisco Filho,,brasil||Brasil;canoas||Canoas;lages||Lages;santa_catarina||Santa Catarina;sao_paulo_provincia||São Paulo,,1840-02-14;1978;2025-07-09;2025-12-03,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-105.xml
CV-106,CV-106 – Petição de Antônio de Melo e Albuquerque ao General-em-chefe,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Conde do Rio Pardo,https://carlamenegat.github.io/VarelaDigital/person/general_valente,1842-05-24,Porto Alegre,,,,antonio_melo_albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque|Antônio de Melo e Albuquerque;francisco_alvares_machado|https://carlamenegat.github.io/VarelaDigital/person/francisco_alvares_machado|Alvares Machado;general_valente|https://carlamenegat.github.io/VarelaDigital/person/general_valente|Conde do Rio Pardo§General-em-chefe;labatut|https://carlamenegat.github.io/VarelaDigital/person/labatut|Labatut;saturnino_sousa_oliveira|https://carlamenegat.github.io/VarelaDigital/person/saturnino_sousa_oliveira|Presidente atual,,cima_da_serra||Cima da Serra;cruz_alta||Cruz Alta;passo_fundo||Passo Fundo;porto_alegre||Porto Alegre,,1840-12-08;1840-12-09;1842-03-17;1842-05-24;1978;2025-07-09;2025-12-03,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-106.xml
CV-107,Carta CV-107 – Antônio de Melo e Albuquerque para José Maria da Silva Betancourt,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,José Maria da Silva Betancourt,https://carlamenegat.github.io/VarelaDigital/person/jose_maria_betancourt,1842-08-07,Vacaria,,,,antonio_melo_albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque|Antônio de Melo e Albuquerque;jose_antonio_oliveira|https://carlamenegat.github.io/VarelaDigital/person/jose_antonio_oliveira|José Antônio de Oliveira,,cima_serra||Cima da Serra;lages||Lages;rio_antas||Antas;sao_paulo||São Paulo;vacaria||Vacaria,,1842-08-04;1842-08-07;1978;2025-07-09;2025-12-03,/Users/carlamenegat/Documents/GitHub/Untitled/VarelaDigital/data/documents_XML/CV-107.xml
