cv_id,subject,author_name,author_uri,recipient_name,recipient_uri,date,place_label,place_uri,lat,long,mentioned_people,mentioned_orgs,mentioned_places,mentioned_events,mentioned_dates,text_file
CV-1,Carta CV-1 – Raul Abbott para Alfredo,Raul Abbott,https://carlamenegat.github.io/VarelaDigital/person/raul_abbott,Alfredo Varela,https://carlamenegat.github.io/VarelaDigital/person/alfredo_varela,1896-04-27,Cachoeira,https://www.geonames.org/3468436/cachoeira-do-sul.html,-29.9456,-52.9234,Alfredo Varela|https://www.wikidata.org/wiki/Q14474103|Alfredo;Bento Manuel Ribeiro|https://www.wikidata.org/wiki/Q3638335|Bento Manuel;David José Martins|https://www.wikidata.org/wiki/Q17276409|David Canabarro§Canabarro;Coritiba|https://carlamenegat.github.io/VarelaDigital/person/coritiba;Demétrio Ribeiro|https://carlamenegat.github.io/VarelaDigital/person/demetrio_ribeiro;João Manuel de Lima e Silva|https://www.wikidata.org/wiki/Q10311815|General Lima;Raul Abbott|https://www.wikidata.org/wiki/Q136885232;Roque|https://carlamenegat.github.io/VarelaDigital/person/roque|capitão legalista Roque;Joaquim Teixeira Nunes|https://www.wikidata.org/wiki/Q10379126|Coronel Joaquim Teixeira Nunes,,Buenos Aires|https://www.geonames.org/3435910/buenos-aires.html;Cachoeira|https://www.geonames.org/3468436/cachoeira-do-sul.html|São João da Cachoeira§Cachoeira do Sul;Rio Grande do Sul|https://www.geonames.org/3451133/rio-grande-do-sul.html|Rio Grande,Combate do Espinilho|https://carlamenegat.github.io/VarelaDigital/event/combate_espinilho|combate do Espinilho,1896-04-27;1978;2025-06-16;2025-11-20,CV-1.xml
CV-10,Carta CV-10 – Antônio Francisco dos Santos Abreu para Domingos José de Almeida,Antônio Francisco dos Santos Abreu,https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1842-12-18,Salso,https://www.geonames.org/13037099/sanga-do-salso.html,-31.6949,-53.1414,Antônio Francisco dos Santos Abreu|https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu;Bento Gonçalves da Silva|https://www.wikidata.org/wiki/Q1789375|Bento;Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073|Almeida;Antônio Vicente da Fontoura|https://www.wikidata.org/wiki/Q4777674|Fontoura;Inácio José de Oliveira Guimarães|https://www.wikidata.org/wiki/Q10303358|Inácio;Vicente|https://carlamenegat.github.io/VarelaDigital/person/vicente,,Erval|https://www.geonames.org/3461679/herval.html|Herval,,1842-12-18;1978;2025-06-18;2025-11-20,CV-10.xml
CV-100,Ordem militar CV-100 – Junção de forças e requisição de cavalos,Paulo Pereira da Silva Alano,https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano,Rodrigo Antônio da Silva,https://carlamenegat.github.io/VarelaDigital/person/rodrigo_antonio_silva,1839-02-07,Passo do Mampituba,https://www.geonames.org/6317511/mampituba.html,-29.1790,-49.9570,José Antônio|https://carlamenegat.github.io/VarelaDigital/person/jose_antonio_alferes|Alferes José Antônio;Paulo Pereira da Silva Alano|https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano|Paulo Alano;Rodrigo Antônio da Silva|https://carlamenegat.github.io/VarelaDigital/person/rodrigo_antonio_silva;Vicente Paulo de Oliveira Vilas-Boas|https://www.wikidata.org/wiki/Q16941086|Vicente Paulo de Oliveira Vilas Boas,,Passo do Mampituba|https://www.geonames.org/6317511/mampituba.html,,1839-02-07;1978;2025-07-08;2025-12-02,CV-100.xml
CV-101,Carta CV-101 – Paulo Pereira da Silva Alano para Antônio Elzeário de Miranda e Brito,Paulo Pereira da Silva Alano,https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano,Antônio Elzeário de Miranda e Brito,https://carlamenegat.github.io/VarelaDigital/person/antonio_elzeario_miranda_brito,1839-03-08,Três Forquilhas,https://www.geonames.org/6318792/tres-forquilhas.html,-29.5380,-50.0700,Antônio Elzeário de Miranda e Brito|https://www.wikidata.org/wiki/Q9621570;José Joaquim Cabeleira|https://carlamenegat.github.io/VarelaDigital/person/jose_joaquim_cabeleira;Paulo Pereira da Silva Alano|https://carlamenegat.github.io/VarelaDigital/person/paulo_pereira_silva_alano|Paulo Alano,,Ilha de Santo Antônio|https://www.geonames.org/13037469/ilha-de-santo-antonio.html;Torres|https://www.geonames.org/3446295/torres.html;Três Forquilhas|https://www.geonames.org/6318792/tres-forquilhas.html,,1839-03-08;1978;2025-07-08;2025-12-02,CV-101.xml
CV-102,Carta CV-102 – Teseu (Melo) para Oliveira,Teseu,https://carlamenegat.github.io/VarelaDigital/person/melo,Oliveira,https://carlamenegat.github.io/VarelaDigital/person/oliveira,1838-10-11,Cruz Alta,https://www.geonames.org/3465108/cruz-alta.html,-28.6450,-53.6048,Alfredo Varela|https://www.wikidata.org/wiki/Q14474103|A. Varela;Antero José Ferreira de Brito|https://www.wikidata.org/wiki/Q9617113|Barão de Tramandaí§Antero;Antônio Elzeário de Miranda e Brito|https://www.wikidata.org/wiki/Q9621570|Elzeário;Bento Manuel Ribeiro|https://www.wikidata.org/wiki/Q3638335|Bento Manuel;Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073|Almeida;Francisco das Chagas Santos|https://www.wikidata.org/wiki/Q8962587|Chagas;Francisco Xavier da Cunha|https://www.wikidata.org/wiki/Q10285240|Cunha;João Paulo dos Santos Barreto|https://www.wikidata.org/wiki/Q10312004|Barreto;José de Araújo Ribeiro|https://www.wikidata.org/wiki/Q10310751|Araújo Ribeiro;José Inácio Ourives|https://carlamenegat.github.io/VarelaDigital/person/jose_inacio_ourives|José Inácio (Juca) Ourives§Ourives§José Inácio;Luís Palmeiro|https://carlamenegat.github.io/VarelaDigital/person/luis_palmeiro;Martim Francisco Filho|https://carlamenegat.github.io/VarelaDigital/person/martim_francisco_filho;Melo|https://carlamenegat.github.io/VarelaDigital/person/melo|Teseu;João da Silva Tavares|https://www.wikidata.org/wiki/Q10312398|Silva Tavares;Vitorino José Carneiro Monteiro|https://www.wikidata.org/wiki/Q10392115|Barão de São Borja§Carneiro,,Cruz Alta|https://www.geonames.org/3465108/cruz-alta.html;Porto Alegre|https://www.geonames.org/3452925/porto-alegre.html|Leal e Valerosa Cidade de Porto Alegre§Madre de Deus de Porto Alegre;Rio Pardo|https://www.geonames.org/3451102/rio-pardo.html,,1838-10-09;1838-10-11;1978;2025-07-08;2025-12-02,CV-102.xml
CV-103,Carta CV-103 – Antônio de Melo e Albuquerque para Domingos José de Almeida,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1839-07-09,Cruz Alta,https://www.geonames.org/3465108/cruz-alta.html,-28.6450,-53.6048,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073,,Caçapava|https://www.geonames.org/3468560/cacapava-do-sul.html|Caçapava do Sul;Cruz Alta|https://www.geonames.org/3465108/cruz-alta.html;Cabo de Santa Maria|https://www.geonames.org/3440561/cabo-santa-maria.html|Santa Maria,,1839-07-09;1839-07-18;1978;2025-07-09;2025-12-03,CV-103.xml
CV-104,Carta CV-104 – Antônio de Melo e Albuquerque,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Autoridades locais,,1839-12-14,Cruz Alta,https://www.geonames.org/3465108/cruz-alta.html,-28.6450,-53.6048,Agostinho Antônio de Mello|https://carlamenegat.github.io/VarelaDigital/person/agostinho_antonio_melo|Agostinho Antônio de Mello e Albuquerque§Coronel Agostinho;Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Fortunato|https://carlamenegat.github.io/VarelaDigital/person/pardo_fortunato|pardo,,Cruz Alta|https://www.geonames.org/3465108/cruz-alta.html;Rio Pardo|https://www.geonames.org/3451102/rio-pardo.html,,1839-12-14;1978;2025-07-09;2025-12-03,CV-104.xml
CV-105,Carta CV-105 – Antônio de Melo e Albuquerque para João da Silva Machado,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,João da Silva Machado,https://carlamenegat.github.io/VarelaDigital/person/joao_silva_machado,1840-02-14,Canoas,https://www.geonames.org/3467467/canoas.html,-29.9150,-51.1785,Alfredo Varela|https://www.wikidata.org/wiki/Q14474103;Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Hipólito|https://carlamenegat.github.io/VarelaDigital/person/capitao_hipolito;João da Silva Machado|https://www.wikidata.org/wiki/Q10312396|Barão de Antonina;Martim Francisco Filho|https://carlamenegat.github.io/VarelaDigital/person/martim_francisco_filho,,Brasil|https://www.geonames.org/3469034/brazil.html;Canoas|https://www.geonames.org/3467467/canoas.html;Lages|https://www.geonames.org/3458930/lages.html;Santa Catarina|https://www.geonames.org/3450387/santa-catarina.html;São Paulo|https://www.geonames.org/3448433/sao-paulo.html,,1840-02-14;1978;2025-07-09;2025-12-03,CV-105.xml
CV-106,CV-106 – Petição de Antônio de Melo e Albuquerque ao General-em-chefe,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Conde do Rio Pardo,https://carlamenegat.github.io/VarelaDigital/person/general_valente,1842-05-24,Porto Alegre,https://www.geonames.org/3452925/porto-alegre.html,-30.0346,-51.2177,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Francisco Álvares Machado|https://www.wikidata.org/wiki/Q10284570|Alvares Machado;Tomás Joaquim Pereira Valente|https://www.wikidata.org/wiki/Q10383102|Conde do Rio Pardo§General-em-chefe;Pedro Labatut|https://www.wikidata.org/wiki/Q3106302|Pierre Labatut§Labatut;Saturnino de Sousa e Oliveira Coutinho|https://www.wikidata.org/wiki/Q10368525|Presidente atual,,Cima da Serra|https://www.geonames.org/3449121/sao-francisco-de-paula.html|São Francisco de Paula de Cima da Serra§Campos de Cima da Serra§São Francisco de Paula;Cruz Alta|https://www.geonames.org/3465108/cruz-alta.html;Passo Fundo|https://www.geonames.org/3454857/passo-fundo.html;Porto Alegre|https://www.geonames.org/3452925/porto-alegre.html|Leal e Valerosa Cidade de Porto Alegre§Madre de Deus de Porto Alegre,,1840-12-08;1840-12-09;1842-03-17;1842-05-24;1978;2025-07-09;2025-12-03,CV-106.xml
CV-107,Carta CV-107 – Antônio de Melo e Albuquerque para José Maria da Silva Betancourt,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,José Maria da Silva Betancourt,https://carlamenegat.github.io/VarelaDigital/person/jose_maria_betancourt,1842-08-07,Vacaria,https://www.geonames.org/3445630/vacaria.html,-28.5079,-50.9418,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;José Antônio de Oliveira|https://carlamenegat.github.io/VarelaDigital/person/jose_antonio_oliveira,,Cima da Serra|https://www.geonames.org/3449121/sao-francisco-de-paula.html|São Francisco de Paula de Cima da Serra§Campos de Cima da Serra§São Francisco de Paula;Lages|https://www.geonames.org/3458930/lages.html;Rio das Antas|https://www.geonames.org/6323243/rio-das-antas.html|Antas;São Paulo|https://www.geonames.org/3448439/sao-paulo.html;Vacaria|https://www.geonames.org/3445630/vacaria.html,,1842-08-04;1842-08-07;1978;2025-07-09;2025-12-03,CV-107.xml
